antecedents,consequents,support,confidence,lift
"MED_aspirin, DX_R07.89",MED_albuterol,0.023011059579022476,0.5019455252918288,1.045284775180532
"MED_aspirin, PROC_71045",MED_albuterol,0.021405636817695327,0.5,1.0412332838038634
DX_R07.89,MED_albuterol,0.06154120585087406,0.4978354978354978,1.0367257804107728
PROC_99233,MED_albuterol,0.05850874063503389,0.49696969696969695,1.0349227790535367
DX_I48.91,MED_albuterol,0.06100606493043168,0.4942196531791908,1.0291959048003505
PROC_85025,MED_albuterol,0.06100606493043168,0.4942196531791908,1.0291959048003505
DX_R06.02,MED_albuterol,0.05993578308954691,0.49122807017543857,1.022966033210813
DX_I10,MED_albuterol,0.0476275419193721,0.4908088235294118,1.0220929660868805
DX_Z79.4,MED_albuterol,0.05868712094184802,0.49031296572280175,1.021060358782328
COND_ckd,MED_albuterol,0.062254727078130574,0.49016853932584264,1.0207595956391804
"DX_Z79.4, MED_atorvastatin",MED_albuterol,0.021405636817695327,0.489795918367347,1.0199836249507233
"MED_atorvastatin, PROC_71045",MED_albuterol,0.02104887620406707,0.4896265560165975,1.019630933517476
"MED_atorvastatin, PROC_93306",MED_albuterol,0.020692115590438816,0.4873949579831933,1.0149837052205728
PROC_36415,MED_albuterol,0.056189796646450234,0.48686244204018553,1.013874758572541
DX_E78.5,MED_albuterol,0.05476275419193721,0.4865293185419969,1.0131810400246786
"DX_M79.1, MED_aspirin",MED_albuterol,0.020870495897252945,0.4854771784232365,1.0109899934029212
"MED_aspirin, PROC_93306",MED_albuterol,0.020870495897252945,0.4854771784232365,1.0109899934029212
"COND_depression, MED_atorvastatin",MED_albuterol,0.020692115590438816,0.4853556485355649,1.0107369114748799
DX_R50.9,MED_albuterol,0.05690331787370674,0.48333333333333334,1.0065255076770678
"MED_atorvastatin, PROC_90471",MED_albuterol,0.02015697466999643,0.48290598290598286,1.0056355646994577
PROC_99285,MED_albuterol,0.05868712094184802,0.4809941520467836,1.0016542408522544
COND_afib,MED_albuterol,0.060649304316803425,0.4809052333804809,1.0014690707024427
"MED_aspirin, PROC_99233",MED_albuterol,0.02176239743132358,0.48031496062992124,1.0002398474336325
COND_gerd,MED_albuterol,0.062076346771316446,0.48,0.9995839524517087
DX_F41.9,MED_albuterol,0.04941134498751338,0.4784110535405872,0.9962750245722629
DX_J44,MED_albuterol,0.04655726007848734,0.47802197802197804,0.9954647878124847
DX_D64.9,MED_albuterol,0.05690331787370674,0.4775449101796407,0.9944713099803364
DX_K59.0,MED_albuterol,0.05993578308954691,0.47727272727272724,0.9939044981764149
PROC_94640,MED_albuterol,0.057260078487335,0.47696879643387813,0.9932715723656467
DX_G47.33,MED_albuterol,0.057260078487335,0.4762611275964392,0.9917978756707422
DX_J45.909,MED_albuterol,0.05797359971459151,0.47514619883040937,0.989476073790221
COND_depression,MED_albuterol,0.06100606493043168,0.47500000000000003,0.9891716196136702
DX_N18,MED_albuterol,0.0476275419193721,0.473404255319149,0.98584853466536
"MED_atorvastatin, DX_R07.89",MED_albuterol,0.022832679272208348,0.4723247232472324,0.9836004452169335
COND_anxiety,MED_albuterol,0.05850874063503389,0.47194244604316543,0.9828043657199054
DX_I25.10,MED_albuterol,0.05547627541919372,0.47192716236722304,0.9827725379757253
PROC_G0008,MED_albuterol,0.060470924009989296,0.47148817802503473,0.9818583677594148
"MED_atorvastatin, PROC_99233",MED_albuterol,0.022119158044951837,0.47148288973384034,0.9818473550698027
"MED_aspirin, DX_K59.0",MED_albuterol,0.021405636817695327,0.4705882352941177,0.9799842671095185
"DX_E78.5, MED_aspirin",MED_albuterol,0.0212272565108812,0.47035573122529645,0.9795000851593655
"DX_G47.33, MED_atorvastatin",MED_albuterol,0.020692115590438816,0.4696356275303644,0.9780004932894587
DX_E11,MED_albuterol,0.04352479486264716,0.46564885496183206,0.9696981727028345
COND_heart_failure,MED_albuterol,0.06011416339636104,0.46354883081155435,0.9653249426187124
PROC_71046,MED_albuterol,0.05708169818052087,0.46176046176046176,0.9616007238592676
DX_N39.0,MED_albuterol,0.05369247235105244,0.4609494640122511,0.9599118481622139
PROC_99223,MED_albuterol,0.051551908669282914,0.46092503987240835,0.9598609857075487
"COND_afib, MED_atorvastatin",MED_albuterol,0.021584017124509455,0.45833333333333337,0.9544638434868747
